estudio_ini,estudio_fin,impacto_ini,impacto_fin,segmento,arquetipo_ganador,n_arquetipos,n_efectivo,codigos_arquetipos,p_valor_bootstrap_arquetipo,ratio_replicacion,dsr,holdout_pct,pct_dias_gana_segmento,kill_switch_1_0,ev_historico_cop_kwh,supera_capacidad_1_0,mae_f1_promedio_pp,candidata_1_0,valida_cheap_1_0
2017-01-20,2017-04-19,2017-04-20,2017-04-26,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,3,"Comercializador regulado,Trader expuesto a bolsa (sin cobertura)",0.005,1.161,1.0,,100.0,0,101.13,0,,1,1
2017-01-20,2017-04-19,2017-04-20,2017-04-26,MEDIANO,Comercializador regulado,2,2,"Trader no regulado,Trader no regulado",1.0,1.069,1.0,,100.0,0,75.26,0,,0,0
2017-01-20,2017-04-19,2017-04-20,2017-04-26,GRANDE,Comercializador regulado,1,1,"Comercializador regulado,Comercializador regulado",1.0,1.065,1.0,,85.7,0,70.47,1,,0,0
2017-02-19,2017-05-19,2017-05-20,2017-05-26,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,3,"Comercializador regulado,Trader expuesto a bolsa (sin cobertura)",0.005,1.26,0.913,,100.0,0,125.59,0,,0,0
2017-02-19,2017-05-19,2017-05-20,2017-05-26,GRANDE,Comercializador regulado,1,1,"Comercializador regulado,Comercializador regulado",1.0,1.108,1.0,,85.7,0,77.06,1,,0,0
2017-02-19,2017-05-19,2017-05-20,2017-05-26,MEDIANO,Comercializador regulado,2,2,"Comercializador regulado,Trader no regulado",1.0,1.084,0.968,,100.0,0,76.43,0,,0,0
2017-03-21,2017-06-18,2017-06-19,2017-06-25,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,3,Trader expuesto a bolsa (sin cobertura),0.005,1.052,1.0,,100.0,0,105.81,0,,1,1
2017-03-21,2017-06-18,2017-06-19,2017-06-25,MEDIANO,Trader no regulado,2,2,Trader no regulado,1.0,1.029,0.999,,100.0,0,80.53,0,,0,0
2017-03-21,2017-06-18,2017-06-19,2017-06-25,GRANDE,Comercializador regulado,1,1,Comercializador regulado,1.0,1.019,1.0,,100.0,0,74.22,1,,0,0
2017-04-20,2017-07-18,2017-07-19,2017-07-25,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,3,Trader expuesto a bolsa (sin cobertura),0.005,0.979,0.996,,100.0,0,104.5,0,,1,1
2017-04-20,2017-07-18,2017-07-19,2017-07-25,MEDIANO,Trader no regulado,2,2,Trader no regulado,0.005,0.983,0.999,,100.0,0,87.39,0,,0,0
2017-04-20,2017-07-18,2017-07-19,2017-07-25,GRANDE,Comercializador regulado,1,1,Comercializador regulado,1.0,0.99,1.0,,100.0,0,72.06,1,,0,0
2017-05-20,2017-08-17,2017-08-18,2017-08-24,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,3,Trader expuesto a bolsa (sin cobertura),0.005,0.64,1.0,,100.0,0,64.59,0,,1,1
2017-05-20,2017-08-17,2017-08-18,2017-08-24,MEDIANO,Trader no regulado,2,2,Trader no regulado,0.005,0.722,1.0,,100.0,0,65.85,0,,0,0
2017-05-20,2017-08-17,2017-08-18,2017-08-24,GRANDE,Comercializador regulado,1,1,Comercializador regulado,1.0,0.893,1.0,,0.0,0,64.37,1,,0,0
